Food,Category,Amount,Calories,Carbs(in g),Fat(in g),Protein(in g)
Parippu Vada,Sunfeast, 1 Piece,100,18,0,7
Dahi Vada,Generic, 1 cup,131,5,0,2
vada,MTR, 2 pieces,236,17,16,6
Ghee Rice,Indian, 0.5 cup cooked,168,27,5,4
Ghee,Ghee, 1 tsp,45,0,5,0
Ghee,Cow Ghee, 0.5 cup,680,0,76,0
Ghee,Ghee (Clarified Butter), 1 Tbsp,135,0,15,0
ghee ,organic ghee, 1 tablespoon,117,0,13,0
Ghee,Ghee primal, 10 grams,135,0,15,0
Ghee,Vital Ghee, 1 tablespoon,112,0,13,0
Ghee,Organic Valley Ghee, 1 Teaspoon,45,0,5,0
Ghee,PATANJALI COWS GHEE, 100 gram,898,0,100,0
Ghee,Amul cow ghee, 1 tbsp,130,0,14,0
Ghee,Brars ghee, 2 tsp,90,0,10,0
Basmati Rice With Ghee,Home Made, 85 g,298,62,4,6
Manteiga ghee,Ghee banqueteria, 5 grama,45,0,5,0
White Rice,Ghee Rice - Indian, 45 mg,160,34,1,5
Nasi Minyak (Ghee Rice),Home Cook, 0.125 plate,55,9,12,8
Ghee,Ambar Ghee, 30 gr.,112,0,13,0
Ghee,Chitale Ghee, 100 ml,818,1,91,0
ghee,clover ghee, 15 g,132,0,15,0
Ghee,Tom's Ghee, 1 teaspoon,45,0,5,0
Ghee,Swad, 14 g,123,0,14,0
dal,curry, 140 g,190,18,10,6
Dal Curry,Bangladeshi Curry, 100 g,70,9,9,5
Dal Curry,Shana, 100 grams,65,0,2,4
Dal Curry,Abaruchi, 1 CUP,258,34,8,14
Mix Dal Curry,Aligarh, 1 Cup Cooked,215,38,8,14
Moong Dal Curry With Onion N Tomoto,Moong Dal Curry, 0.5 cup cooked,75,18,3,4
Dal Masala Curry,Deep, 5 oz,200,24,9,7
Indian Dal (Lentils) Curry,Homemade Tadka Dal, 0.5 cup,70,11,1,4
Dal Curry Mix,Shan, 25 g,45,7,1,1
Broccoli Dal Curry,Homemade, 1 serving (669g),445,59,15,26
Dal and Spinach Curry,Eurest, 1 cup,380,44,19,16
Dal Curry,Carols, 196 gr,493,79,12,18
Dal Curry,Carol's, 128 g,93,17,0,7
Dal Tadka Lentil Curry,Patel's, 1 Cup,126,16,4,6
Yellow Lentils Curry Dal,Kohinoor, 1 cup,160,21,5,8
Tomato Dal Curry,Generic, 1 cup,254,46,3,16
Creamy Dal Curry,Patti, 100 g,104,3,7,7
Spinach Moong Dal Curry,Aligarh's, 1 Cup Cooked,116,28,6,12
Dal Tadka Lentil Curry,Patels, 0.5 Cup (125 ml),170,21,6,8
Dal Pumkin Coconut Curry,Home, 1 cup,150,0,0,0
Sambar,Sambar, 100 grams,114,26,1,5
Sambar,Sambar - Generic, 220 grams,159,26,1,11
sambar,MTR sambar, 0.5 pack (150g),87,12,3,3
Sambar With Sambar Powder,Generic, 1 cup,184,30,4,9
Sambar,Anand sambar, 1 cup,110,8,7,4
Sambar,Mtr, 0.333 cup,50,8,2,1
Sambar,Sck, 142 g,110,8,7,4
Sambar,Thin, 1 Cup,110,0,0,0
Sambar,Vish, 1 Serving - 95 grams,169,25,7,6
sambar,dall, 3 cups,340,63,2,22
Homemade Carrot Sambar,Coolray - Carrot Sambar, 100 gm (one small katori),47,8,0,2
Sambar,Aditi, 2.5 oz,80,11,3,4
Sambar,Raji's, 1 cup,55,9,1,3
Sambar,MTR sambar mix, 6 cup,600,88,19,27
Sambar,Maiyas, 3.35 oz,90,16,2,2
Sambar Rice,Homemade, 1 Cup,210,30,6,6
Dosa Sambar,Homemade, 1 large dosa+ sambhar,363,63,8,8
Homemade Sambar,Indian, 1 cup (cooked),308,57,9,15
Sambar Rice,Priya, 0.333 cup (100g),70,10,2,2
Madras Sambar,Jyoti, 4 oz,80,11,3,4
Pan Fried Rohu Fish,Indian, 100 gms,127,0,5,17
Indian fried fish,homemade from recipe, 1 drink,90,23,0,0
Fried Fish,Fried Fish Fillet, 100 gram,251,19,13,15
fried seer fish,Fried fish, 1 piece,60,2,1,12
Indian Fish,12wbt, 1 Serve,266,20,10,24
Fried,Fish, 250 ml,160,12,9,9
Indian,Fish Tikka, 100 g,77,0,0,0
Fried Fish (Haddock),Luby's Fried Fish, 1 fillet,396,15,20,37
Deep Fried Fish,Deep Fried Fish, 125 g,276,9,16,23
Indian Style Baked Fish,Indian Style Baked Fish, 65 g,80,6,1,12
Pan fried fish,Fish, 40 g,150,33,0,3
Indian Fried Rice,Homemade, 16 oz,397,76,7,10
Indian Fish Curry,Hawker, 1 portion,244,13,4,38
Fried Fish,Fried Fish, 3 pcs,310,22,15,20
Chilli Garlic Fish,Indian, 1 serving,290,20,11,28
Indian Fish Curry,Homemade, 1 piece of fish,338,12,14,42
Egg Fried Rice,Indian, 1 cup cooked,401,38,24,10
Fried Rice Papad,Indian, 100 g,321,60,5,26
Fish Sambal (Indian),Homemade, 1 (130g),308,15,14,2
Indian Fried Savoury,Namkeen, 0.2 cup,115,9,8,2
Chicken Kabab,Chicken Kabab, 1 kabab,370,11,19,37
Kabab,Kabab, 1 fluid ounce,240,3,18,16
Chicken Tikka Kabab,Chicken Tikka Kabab, 1 wrap,793,111,17,49
Kabab,Herfy chicken kabab, 100 g,198,15,8,16
Kabab,Vegetarian Kabab, 80 grams,137,5,6,17
Turkish Chicken Sheesh Kabab,Turkish Chicken Sheesh Kabab, 1 serving,280,12,12,32
Chick  kabab,Alareesh. Chicken kabab, 100 g,203,10,7,19
Shami Kabab,Shami Kabab, 154.6 g,138,11,3,16
kabab,Al Shamas Kabab (chicken), 100 g,887,11,10,18
Chapli Kabab,Chapli Kabab, 1 (27gm) kabab,224,10,13,17
Malai Kabab ,Malai Kabab, 311 g,654,8,47,47
Chicken Kabab,Kababji, 1 sandwhich,275,0,3,58
Chicken Reshmi Kabab,Mezban, 2 Piece (80g),60,1,3,8
Kabab,Herfy Shish Kabab, 100 g,177,6,10,16
Chicken Seekh Kabab,Mezban, 2 Piece (70g),60,1,3,8
Chicken Seekh Kabab,Salwa, 1 piece,140,7,4,19
Chicken Kabab,Alzaeem, 2 pcs,117,5,4,17
Seekh Kabab (Shish Kabab),K and N's Chicken, 3 pieces (90g),132,2,7,16
Chicken Adana Kabab,Generic, 1 Plate,500,0,20,36
Chicken Kabab,Bombay Kitchen, 2 Peices,180,3,10,19
Chicken Tikka Kabab,Chicken Tikka Kabab, 1 wrap,793,111,17,49
Chicken tikka,Chicken tikka, 1 slice,127,2,5,18
chicken tikka pieces,Tikka Chicken Mini Fillets, 100 gram,133,3,2,26
chicken Tikka ,tikka, 1 pouch,140,1,2,31
chicken tikka steaks ,tikka chicken steaks asda, 100 g,169,1,4,33
Tikka,Chicken tikka, 100 g,200,1,13,19
Chicken Tikka,Indian, 200 g,300,15,6,45
Chicken Tikka,Baguette, 1 baguette,325,46,10,14
Chicken Tikka,Pizza, 1 Slice,162,19,6,10
Chicken Tikka,Subway, 6 Inch,296,38,3,25
Chicken Tikka,Tesco, 100 g,145,6,9,10
Chicken Tikka Masala,Homade Tikka Masala, 1 cup,427,8,12,46
Chicken Tikka,Homemade, 0.333 of seving,345,13,19,31
Chicken Tikka,Lowlow, 1 packet,326,55,5,15
chicken tikka,supervalu, 100 g,121,1,2,25
Chicken Tikka,Sainsbury's, 75 g,105,2,2,20
chicken tikka,walls, 180 g,567,42,35,19
Tikka Roast Chicken,Bilash Tikka Roast Chicken, 100 g,186,2,10,22
Chicken Tikka,Myprotein, 1 pack,261,11,9,30
Chicken Tikka,Weatherspoon, 1 Meal,1083,145,34,48
Tandoori Chicken,Homemade Tandoori Chicken, 4 ounces,138,4,1,23
Tandoori Chicken Samosa,Tandoori Chef, 2 pieces,140,13,7,8
Fabrys Chicken Tandoori,Chicken Tandoori, 170 g,359,41,14,17
Chicken Tandoori,Evol, 1 bowl (241g),270,36,6,19
chicken tandoori,Tandoori Chicken (Asda), 400 g,246,7,12,36
Tandoori Chicken,Outtakes, 1 each,595,44,24,49
tandoori chicken,tandoori oven, 100 g,120,0,4,20
Tandoori chicken,Tandoori chicken, 100 g,125,3,5,17
Chicken tandoori,Chicken tandoori, 247 gram,560,3,32,61
Chicken Tandoori,Evol, 1 bowl (241g),270,36,6,19
Tandoori Chicken (Tandoori Murghi),About.com, 6 oz.,303,3,11,45
Tandoori Chicken,Mayuri, 1 piece,190,1,6,31
Chicken Karahi,Tandoori, 231 g,270,10,15,25
Chicken Tandoori,Wegmans, 141.5 gr,230,1,13,29
Tandoori Chicken,Subway, 6 Inch sub,315,39,5,27
Tandoori Chicken,Morrisons, 1 Piece,198,4,7,29
Chicken - Tandoori,Heinz, 85 g,98,7,2,12
Chicken,Tandoori chicken, 150 grams,230,3,14,24
Starbucks Tandoori Chicken Wrap,Starbucks Tandoori Chicken Wrap, 1 wrap,290,15,9,19
Haley Chicken Tandoori,Chicken Tandoori, 100 g,144,10,2,23
Curry Egg Roll,Homemade Curry Egg Roll, 1 roll,177,12,8,14
Egg Curry,Homemade, 0.5 cups,90,1,6,8
Masala Egg Curry With 1 Egg,Home Made Egg Curry, 0.5 cup with one egg,195,9,15,8
Egg Curry,Vish, 1 Serving - 100 grams,114,8,7,6
Egg Curry,Michigan Dining, 5 Oz Piece,95,8,5,6
Indian Egg Curry (White Only),Egg White Curry (Homemade), 1 cup,110,10,4,9
Curry Masala for Egg Curry,Parampara, 20 g,76,11,3,1
Egg Curry With 2 Egg,Vok, 1 cup,240,0,0,0
Egg Curry With 1 Egg,Chetna, 1 bowl,278,26,15,10
Potato & Egg Curry,Ria's, 1 bowl,369,40,19,11
Curry Egg Salad,Homemade, 0.5 cup,70,1,4,6
Curry Egg Scramble ,Homemade, 2 cups,223,1,11,30
Egg Whites Curry,Vish, 1 Serving - 85 grams,91,10,4,6
Fish Egg Curry,Homemade, 1 serving cooked,218,13,12,14
Egg Methi Curry,Curry, 1 serving,158,9,10,8
Egg Curry,Bbc Goodfood, 1 bowl,351,14,26,18
Egg and Potato Curry,Homemade, 200 g,200,20,12,10
Curry Egg Salad,Home Made, 1 serving,191,3,14,12
Egg Curry - Onions/tomatoes,My, 0.5 cup,50,8,2,10
Egg curry sauce,Kohinoor, 125 gram,154,18,8,3
Egg Masala Mix,Eastern, 1 tbsp,29,4,1,1
2 Egg Masala Omlet,Prit's, 1 plate,262,23,10,16
Egg Roast Masala,Double Horse, 100 Grams,206,25,7,12
Masala,Masala, 100 g,361,53,13,9
Masala Egg Curry With 1 Egg,Home Made Egg Curry, 0.5 cup with one egg,195,9,15,8
Curry Masala for Egg Curry,Parampara, 20 g,76,11,3,1
Egg curry masala,Aachi, 5 gram,19,3,0,0
Egg Masala,Sm-keto, 2 eggs,269,6,21,14
Masala Egg,Mixed Cafe, 1 Serving,158,2,11,11
Egg Masala Toast,8fit, 1 Serving,794,64,45,34
Masala Vada,Masala Vada, 2 pc,100,19,1,5
Masala Puri,Masala Puri, 1 pc,36,8,0,1
Masala Boondi,Masala Boondi, 34 g,170,15,10,6
Masala Mini Egg White Omelets,Homemade, 1 cupcake,60,2,2,4
Egg curry masala powder,Everest, 10 g,31,4,2,1
Masala Dosa,Masala Dosa, 1 컵,140,22,5,4
Chickpea Masala (Chana Masala),Homemade, 1 cup,250,37,6,8
Chicken Butter Masala,Masala Wok, 1 order,906,30,78,25
Masala Oats (Classic Masala),Saffola, 39 grams,148,27,3,4
"1 Organic Egg, 2 Egg White, Masala Omlette",Homemade, 1 Omlette,100,0,4,11
Bisi Bele Bath,Generic, 1 (~500g),199,33,5,8
Bisi Bele Bath,Mtr, 1 cup,100,14,4,3
Bisi bele bath,TruMillets, 2 cup,394,71,7,11
With Vegetables,Bisi Bele Bath, 1 cup cooked,343,67,5,7
Instant Bisi Bele Bath,Adukale, 125 gram,965,140,34,34
Cracked Wheat Bisi Bele Bath,Homemade, 1 cup,237,19,17,7
Ac Bisi Bele Bath,Home Made, 1 cup cooked,132,26,3,3
"Rice, Toordal, Vegetables, Peanut",Bisi Bele Bath, 1 cup cooked,400,33,5,8
Oats Bisi Bele Bath (With Peanuts),Homemade, 1 cup cooked,250,45,12,11
Bisi Bele Bath,Homemade (Without Ghee and Peanuts), 1 cup,210,30,5,8
Bisi Bele,Avalakki, 100 g,376,59,13,7
Kodo Millet Bisi Bele Bath,BB Good Diet, 100 gram,335,52,7,10
the Most Accurate One!,Generic Bisi Bele Bath, 1 cup,100,1,1,50
Bisi Bele Bhath,Homeprepared -, 1 cup,199,33,5,8
Quinoa Bele Bath,Vj, 200 Grams cooked,245,44,2,11
Quinoa Bisi Bela Bath,Homemade, 1 cup cooked,275,48,6,11
"(Indian) Bisi Bele Bhath, Lentil Rice With Veg.",Dg, 543.5 g,199,33,5,8
Bath Bun,Bath Bun, 1 Bun,200,0,0,0
Bele šapice,Bele šapice, 101 g,403,46,49,10
Bath,Epsom, 2 cups,0,0,0,0
Pongal,Pongal, 1 cup,200,23,7,5
Pongal,Priya, 100 g,80,8,4,2
Pongal,Mtr, 5.29 oz,125,16,5,4
pongal,triguni, 1 container,350,18,7,3
Sweet Pongal,Generic, 4 tablespoon,400,58,18,8
Ven Pongal,Homemade, 0.5 cup (cooked),134,24,3,4
Sweet Pongal,Homemade, 1 cup cooked,297,0,13,8
Spicy Pongal,Homemade, 0.5 cup cooked,121,21,2,3
Varagu Pongal,Homemade, 100 g,300,66,9,8
Pongal,Aasihirwad, 285 g,87,11,4,2
P's Ven Pongal,P's Ven Pongal, 0.75 th cup,250,0,0,0
Pongal,Bambino, 1 gram,233,29,10,6
Pongal,Fitfoodiy's, 350 g,393,72,5,18
Sakara Pongal,Homemade, 82.5 g,165,63,6,6
Ghee Pongal,GRB, 67 gram,221,42,3,9
Instant Pongal,Deep, 50 grams,230,29,10,6
Quinoa Ven Pongal,Generic, 0.5 cup,177,18,10,4
simply pongal oats,Kellogs, 100 g,369,67,9,11
Venn Pongal,Komala Vilas, 1 cup cooked,295,41,10,6
Quinoa Pongal,Vj, 1 cup,270,55,2,16
Bellam Attu,Homemade, 2 Attlu,430,50,13,7
Avial,Mtr, 0.333 cup,110,8,8,2
Avial,Homemade, 1 cup cooked,183,32,11,6
anand avial mix,anand avial, 16 oz,120,20,1,6
Avial,Company's Coming, 0.5 cup cooked,160,0,7,4
Madhu Avial,Homemade, 1 cup,118,19,4,1
Avial,Mysore Woodlands, 100 g,65,12,1,2
avial,tasty nibbles, 100 grams,110,12,6,2
Priya Ready to Eat - Avial,Priya Ready to Eat - Avial, 100 gm,100,6,7,2
Avial,Homemade (K&m), 0.25 batch,196,23,10,5
Winter Vegetable Avial,Waitrose Recipe, 350 g,544,51,33,10
Avial South Indian Style,Home Made, 1 cup cooked,125,0,0,0
Avial Mic,Vadilal Quick Treat, 104 gram,40,8,0,3
Avial Mixed Vegetable Stew,Mtr Ready to Eat, 0.333 pkg,110,8,8,2
the Most Accurate One!,Generic Avial, 1 cup,100,1,1,50
"Avial ( Cooking Banana, Yam, Drumsticks, Tindora, Winter Melon, Carrot, Coconut, Yoghurt)",Homemade(used Morton Lite Salt), 1 cup cooked,183,18,11,4
halwa,halwa, 100 gram,539,49,32,14
Halwa,Halwa Zardak, 211 g,185,32,5,5
Golden Halwa,Golden Halwa, 2 Slices,201,34,7,1
Halwa,Generic- Besan Halwa, 91.1 g,354,66,5,12
Egg Halwa,Halwa - Egg, 2 egg amount,285,59,14,12
bombay halwa,bombay halwa, 1 piece,445,37,14,7
Halwa,Taza halwa puri, 150 g,575,29,50,2
Halwa,Gajar halwa, 1 square,133,17,6,3
Halwa,Suji, 0.25 cup,150,32,0,5
Halwa,Generic, 0.333 package,250,0,25,1
Halwa,Generic, 0.333 package,250,0,25,1
Halwa,Carrot, 211.7 g,185,32,5,5
Banana Halwa,Homemade Banana Halwa, 1 cup,230,31,12,4
Gits Suji Halwa,Gits Suji Halwa, 1 serving,300,34,16,4
Haldiram's Badam Halwa,Haldiram's Badam Halwa, 1 piece,139,27,3,2
Karachii halwa,Karachi  halwa, 1 piece,124,23,3,0
Sooji Halwa,Sooji Halwa, 0.5 Cup,189,34,5,3
Gajar Halwa,Test, 100 g,360,60,14,4
Halwa (Atta),Homemade, 0.5 Cup,156,15,12,1
Suji Halwa,Generic, 1 small bowl,360,33,23,5
Stevia Bonda,Bonda, 0.2 ml,0,1,0,0
Bonda,Generic, 1 piece,87,10,5,2
Aloo Bonda,Generic, 1 Piece,136,22,5,3
Mysore Bonda,Restaurant, 1 ball (30 gms),70,13,1,3
Mysore Bonda,Generic, 1 Bonda,295,0,0,0
Potato Bonda,Generic, 1 fritter,123,22,2,6
Muruku,Bonda, 100 g,483,60,23,9
Aloo Bonda,Haldiram's, 85 g,130,8,5,1
Bonda,Viswas, 175 gram,86,16,2,2
Bonda Soup,South Thindies, 1 cup,150,0,0,0
Bonda  soup,Maiyas, 260 g,461,58,21,11
Frozen Bonda,Nilamels, 100 g,376,65,10,6
Mysore Bonda/bajji,Home Made, 330 g,692,127,7,30
Home Made Mysore Bonda,Generic, 300 g,690,100,7,0
Bajji Bonda Powder,Sakthi, 100 gram,373,64,5,17
Bajji-Bonda Mix,Aachi, 3.5 oz,393,72,5,15
endulzante liquido,bonda stevia, 3 ml,0,0,0,0
Aloo Bonda With Canola Oil,Generic, 1 piece,109,13,6,3
Indian Snack Selection - Potato Bonda,Waitrose, 1 bonda 30 g,38,4,2,1
Špaldové Lupínky čisté,Bonda Vita, 100 gram,340,61,3,12
Vazhaikkai Bajji,Bajji, 2 slices,180,20,6,4
Bajji,Thakkali, 1 cup,112,6,10,1
Onion Bajji,Generic, 74 g ( about 2 pieces),45,16,23,6
Potato Bajji,Homemade, 1 plate,651,38,56,6
Banana Bajji,Indian, 2 piece,180,20,6,4
Mangalore  Bajji,Maiyas, 0.77 oz (22g),100,9,7,1
Mirchi Bajji,Generic, 1 Serving,142,17,6,5
bajji mix,Sakshi Bajji-Bonda Powder, 5 tablespoons,85,15,1,4
Cauliflower Bajji,Generic, 1 Serving,367,7,29,2
Mirchi Bajji,Indian Gourmet, 1 piece,142,0,0,0
Onion Bajji,Marks & Spencer, 2 bajjis,181,0,0,0
Mirchi Bajji,Maiyas, 1.75 oz,140,12,15,3
Mangalore Bajji,Maiyas, 1 piece,100,9,7,1
Bread Bajji,Road Side, 1 cooked,289,21,9,8
Mysore Bonda/bajji,Home Made, 330 g,692,127,7,30
Egg Bajji,Homemade, 1 pc,52,3,3,2
Jalapeño Bajji,Ganavi's, 1 (45gm),79,6,5,1
Indian Mirchi Pakoda,Mirchi Bajji, 38 Grams,142,17,6,5
Baby corn Bajji,Homemade, 1 plate,200,18,11,3
Medium Size Potato Bajji,Home Made, 1 piece,70,0,7,0
Lamb Chettinadu,Jd Wetherspoons, 1 Dish,946,134,21,43
pri_chappati,chettinadu freah, 100 gram,332,46,5,13
Kaarakuzhambu Pickle,Indian - Chettinadu, 100 grams,318,88,69,102
Kaara kulambu extract to mix with  rice,Chettinadu kaarakuzambu, 2 tbsp,120,10,8,2
Chicken,Grilled chicken, 4 oz,100,1,2,22
Chicken,Chicken tenderloin, 1 piece,100,0,1,22
Chicken,Chicken drumsticks, 1 One drumstick,180,0,10,22
Chicken Thigh,Chicken, 1 cup,135,0,8,14
Chicken,organic chicken, 4 oz,120,0,1,26
Mc Chicken,Chicken, 1 cup,360,40,16,14
Chicken,Chicken Meijer, 3 oz,120,0,4,21
Hawaiian Chicken,Chicken, 1 c,247,25,2,30
Evol Chicken Teriyaki Chicken,Evol Chicken Teriyaki Chicken, 1 bowl,260,43,3,14
Chicken Sausage,chicken sausage, 1 sausage,140,2,8,15
Chicken,Baked Chicken Thigh, 1 thigh,135,0,8,14
Rotisserie Chicken,Rotisserie chicken, 3 oz,170,1,11,15
Garlic Chicken,Garlic Chicken, 3 oz,299,6,17,30
Chicken Wing,Chicken Wing, 1 wing,81,0,5,7
Chicken,Lemon Pepper Chicken, 4 ounces,110,3,3,19
Chicken Tenders,Bush's Chicken, 2 tenders,280,15,15,21
Chicken 65,Homemade, 1 cup,110,6,4,13
Chicken 65,Generic, 1 plate,436,23,15,54
65,Indian Chicken, 100 gm,88,5,3,11
Chicken 65,Zyka, 1 piece,35,2,1,4
Chicken 65,Feast, 3 oz,133,2,6,16
Chicken 65,Masala Wok, 1 Plate,360,34,6,38
Chicken 65,Colonel Kababz, 1 Cup,250,13,5,34
Chicken 65,Bombay Kitchen, 142 grams,200,10,14,22
chicken 65,anmol, 1 cup,340,23,20,16
Chicken 65,Mushair's, 50 oz,1880,20,73,384
65 Grams Grilled Chicken,Chicken, 65 grams,72,0,1,15
Chicken 65,Asda Indian Takeaway, 100 g,266,4,13,31
chicken 65,Shan, 1 tbsp,30,3,1,1
Bbq Chicken,Market 65, 2 cups,432,20,33,19
Chicken 65 Masala,Lazzat, 1 container (33 tbsp ea.),20,4,1,1
Gobi 65 (Cauliflower 65 Deep Fried),Indian, 150 gms,172,30,10,4
Chicken  65,Green meadows, 114 grams,150,6,5,20
Unt 65%,Generic, 100 g,596,0,65,0
Unt 65%,Albalact, 100 g,587,0,65,0
Chicken Boneless 65,Deepak Chicken Store, 100 gram,203,8,8,26
Dibba Rotti,Generic, 1 Rotti,254,32,5,4
Dibba Rotti Large,Generic, 0.25 Piece,350,40,7,6
Rotti,Kottu rotti, 1 porsjon,407,78,7,10
Rotti,Amutha rotti, 1 stuk,250,52,4,6
Rotti,Roti, 100 g,338,66,2,11
butter rotti,butter rotti, 80 g,270,32,13,6
Rotti Bread,A'viands, 1 Each,82,15,2,2
Brot,Rotti, 3 Tassen,376,77,7,10
Akki Rotti,Homemade, 30 g,150,24,3,2
Ragi Rotti,Maiyas, 60 g (1 piece),142,22,4,3
Potato Rotti,Generic, 6 inches,493,84,14,13
Kori Rotti,Generic, 1 (528 g),419,34,14,39
akki rotti,Maiyas, 1 roti,200,26,9,3
Coconut Rotti,Generic, 1 piece,120,20,3,4
raagi rotti,maiyas, 1 piece,160,22,4,3
Ragi Rotti,Homemade, 30 g,135,25,3,3
Kothu Rotti (Chopped),Niru, 75 g,290,53,6,6
rotti,katoomba, 65 gram,184,26,7,4
Chicken Rotti Wrap,Parratas, 400 g,460,66,11,26
Akki Rotti,House Made, 1 rotti,115,30,0,1
Double Ka Meetha,Homemade, 153 g,470,107,2,5
Khubani Ka Meetha,Hyderabadi, 100 g,200,48,2,3
the Most Accurate One!,Generic Double Ka Meetha, 1 cup,100,1,1,50
Double Ka Meeta,Homemade, 1 Serving,250,0,0,0
the Most Accurate One!,Generic Qubani Ka Meetha, 1 cup,100,1,1,50
Meetha Paan,Indian, 1 paan,50,0,0,0
Khatta Meetha,Haldirams, 35 g,180,20,9,4
Meetha Paan,Test, 1 paan,100,20,1,0
Meetha Pan,Bombay Meetha Pan, 25 g,80,19,0,1
Ka,Ka, 100 gram,370,0,29,27
besan ka cheela,double parrot, 1 gram,372,60,6,21
Khatta Meetha,Haldiram's, 100 gram,511,57,27,11
Khatta Meetha,Haldiram, 1 cup,180,20,9,4
khata Meetha,Gardens, 60 g,352,0,0,0
Khatta Meetha Namkeen,Bikano, 30 g,180,15,11,3
Meetha Dahi,Gyan, 100 g,67,21,0,4
Khatta Meetha Namkeen,Haldiram, 1 packet,530,57,29,9
Snack,Haldiram's Khatta Meetha, 1 cup,200,14,14,5
Khatta Meetha Chevdo,Haldiram's, 10 g,56,4,4,1
ka,gemüsesoße, 100 g,45,7,1,1
the Most Accurate One!,Generic Goli Bajje, 1 cup,100,1,1,50
Anardaana goli,Dilkhush Goli, 10 gram,39,8,1,0
Jeera goli,Jeera goli, 3 gram,10,2,0,0
imli goli shudh,imli goli, 5 gram,75,4,0,0
drakshawati goli,Gazab drakshawati goli, 1 gram,10,4,9,0
Goli Baje,Generic, 1 unit,50,0,0,0
Anardana Goli,Dilbahar, 100 g,367,89,1,0
anardana goli,Roopak, 3 g,30,3,0,0
vitamin,goli, 1 gummy,15,4,0,0
Gummy,Goli, 1 per gummy,12,0,0,0
Gummies,Goli, 40 g,100,26,0,0
digestive,jeera goli, 0.52 oz,49,0,0,0
Chatpati goli,Swad, 10 grams,35,9,0,0
Anardana goli,Gazab, 1 tbs,140,8,0,0
jeera goli,mukhwas, 1 container,380,80,0,0
Imli Goli,Tasty Besty, 15 g,54,11,0,0
Orange  Goli,Meenakshi, 1 candy,11,0,0,0
Jeera goli,Perfect, 10 grams,21,5,0,0
jagody goli ,bakalland, 1 gram,365,70,1,12
Special Jeera Goli,Kaash, 1 tbsp (3G),10,3,0,0
Buns,Mangalore, 1 number,160,0,0,0
Mangalore Buns,Dmg, 1 bun,160,26,6,1
Mangalore  Bajji,Maiyas, 0.77 oz (22g),100,9,7,1
spice,mangalore, 300 gram,800,26,23,5
Liqueur epicee,Mangalore, 1 cl,28,7,0,0
Mangalore Bajji,Maiyas, 1 piece,100,9,7,1
mangalore fish pickle,keya, 1 spoon,25,0,0,0
Mangalore chicken curry,Scratch, 1 portion,632,51,31,32
Butter Chakli,Mangalore Prabhu, 100 gm,491,64,23,6
Mangalore Herb Curry,the Spice Tailor, 100 g,155,7,12,3
Mangalore chikki,Rajam snacks, 2 pcs,68,0,0,0
chapati,Mangalore take out, 50 gram,150,23,2,5
Chicken tikka masala,Mangalore, 10 g,30,4,1,1
Mangalore Malabar Curry Sauce,Holy Cow, 125 g,151,8,13,2
Mangalore tomato muruku,Milar foods, 50 gram,253,22,14,6
Buns,Hamburger Buns, 1 bun,120,21,2,4
Mangalore Mixture (Indian snacks),Adarsh, 28 g,153,10,11,3
Buns,Sunny Buns, 1 bun,140,26,3,4
Buns,Buns, 1 bun,170,32,2,6
buns,Hamburger Buns, 1 bun,120,23,2,4
Idiappam,Homemade, 100 g,120,20,10,0
Idiappam (white),Anand, 50 g,69,15,0,1
Kerala Idiappam white,Viswas Idiappam white, 454 gram,1320,289,5,21
Idiappam Brown,Daily Delight, 114 grams,130,26,0,3
Idiappam With Chatni,Home Made, 1 piece,57,10,13,1
"Appam, idiappam - pathiri",Periyar, 100 g,360,78,1,8
Idiappam with vegetable stew,Daily Delight, 4 oz,225,28,9,8
Idiappam Brown Rice Noodles,Daily Delight, 0.05 cup,130,26,2,3
the Most Accurate One!,Generic Idiappam, 1 cup,100,1,1,50
Idiappam Steamed String Noodles (White),Daily Delight, 3.5 oz,300,60,4,4
"Rice vermicelli, Idiappam sticks",3V Tasty Foods  (Rice Sevai), 100 gram,348,79,0,7
1 Omelette,Omelette, 1 omelette,98,1,7,7
Omelette Salée,Omelette, 100 g,196,1,15,14
Omelette fromage,Omelette, 1 omelette,164,3,12,11
Omelette,Spicy Omelette, 1 cup,93,4,7,4
Omelette légumes,Omelette, 1 sachet,110,2,3,19
Omelette Nature,Omelette, 100 g,173,0,13,15
Omelette (Nature),Omelette, 100 g,173,0,13,15
Omelette,Omelette Calorie Com, 100 g,196,1,15,14
2egg Omelette,Plain Omelette, 2 egg omelette,188,4,23,14
Omelette,Savoury Omelette, 0.25 portion,194,5,10,9
tuna omelette,tuna omelette, 56 grams,60,3,2,7
Omelette,KYF, 160 g,286,2,23,19
Egg Beater Cheese Omelette,Omelette, 1 omelette,200,1,8,26
California Omelette (Omelette Only),Cocos, 1 Omelette,540,5,44,32
Breakfast Omelette,Chef's Omelette, 122 g,210,5,14,15
2 Egg Omelette,Healthy Omelette, 1 whole,230,9,14,14
Potato Omelette,Filipino Omelette, 0.5 cup,600,0,35,28
Omelette,Shrimp and Mushroom Omelette, 1 omelette,225,22,5,23
Omelette Pastrami,Pastrami & Swiss Omelette, 250 g,425,0,26,39
Omelette,Eggs, 1 cup,276,10,12,30
Kanji,Homemade, 1 spoon with cup skim milk,100,20,5,5
P's Ragi Kanji,P's Ragi Kanji, 1 cup,150,0,0,0
