Food,Category,Amount,Calories,Carbs(in g),Fat(in g),Protein(in g)
Sev-Puri Puri,Anand, 42 gm,231,23,14,3
puri puri chicken ,lidl, 0.5 pack,258,2,7,46
Vidhya's Pani Puri,Pani Puri, 11 pcs,270,331,12,6
puri puri chicken,aldi, 100 g,210,0,12,25
Pani Puri empty,Pani Puri, 5 pieces,70,8,3,1
Puri,Nirvana," 4 puri (1.5"" diameter)",112,16,5,3
Puri,Generic, 1 (4-4/5 diameter),107,16,5,3
Geela Bhel Puri,Geela Bhel Puri, 130 g,351,33,13,5
Deep Pani Puri,Deep Pani Puri, 5 pieces (17g),90,11,4,2
puri,ketos puri, 100 gram,166,34,7,6
Puri,Mazedar Puri, 1 puri,130,20,5,2
puri snack,Tea time puri, 1 cup,107,10,6,2
Qatos puri,Qatos puri dachrilii puri+, 1 loaf,192,37,2,8
Puri,Foodmart, 1 (35gr),131,18,6,3
potato,puri, 45 oz,124,0,4,0
Duo puri,Dal puri, 1 piece,110,16,3,3
Puri - 1,Homemade, 1 puri,107,17,3,3
Mutton,Mutton, 100 grams,294,0,21,25
Fried Mutton,Fried Mutton, 100 g,235,0,14,26
Kurma Sauce Kuah Kurma,Delimas, 45 g,60,3,5,1
Biryani-mutton,Biryani-mutton, 439.3 G,640,80,23,10
Mutton Soup,Mutton Soup, 1 cup,382,30,17,27
kurma,rossara, 40 gm 5-6 biji,120,32,0,0
Kurma,Trinidad, 57 g,215,39,6,3
P's Vegetable Kurma,P's Vegetable Kurma, 0.5 cup,50,0,0,0
tin mutton ,corned mutton, 100 g,180,0,13,16
Mutton Curry,Indian Mutton Curry, 1 cup,271,20,17,13
Raw Boneless Mutton,Mutton, 100 grams,230,0,14,26
Dates,Kurma, 6 dates,120,31,0,1
Kurma,Palm'Fruit, 4 dates,110,29,0,1
Veg Kurma,Scc, 150 g,300,60,10,6
Grill Bbq Mutton Ribs,Mikes Mutton, 100 gg,300,0,28,25
Mutton Pulao,Home Made Mutton Pulao, 1 serving,578,59,22,36
Navaratan Kurma,Mtr, 0.333 cup,180,9,14,4
Chicken Kurma,Spore, 519 g,877,39,67,29
Ayam Kurma,My, 1 piece /125g,179,1,14,13
Kurma mix,Baba's kurma mix, 13 g,57,8,2,2
Kerala Parota,Parota, 1 number,290,42,9,11
parota,Anand Kerala parota, 908 gram,316,51,9,8
Kerala Parota,Generic, 1 cooked,198,176,14,10
parota,Anand Kerala, 100 gram,316,51,0,8
Kerala Parota,Anand, 1 pcs,318,51,9,8
kerala parota,the indian coffee house, 100 gram,373,48,16,9
Parota,Id Special Parota, 100 g,357,47,15,8
Malabar Parota (Layered flat bread),Tastes of Kerala, 56.7 gram,165,31,3,4
Parota,Sumeru, 1 piece,200,0,0,0
parota ,malabar, 1 piece,238,27,10,4
Parota,Anand, 60 grams,376,0,6,0
Parota,Kpn, 1 pc,180,0,11,0
Methi Parota,Generic, 1 piece,200,25,11,5
parota,apple, 75 gram,281,31,11,7
Aloo Parota,Generic, 1 parota,280,50,9,0
Parota,Bangladeshi Curry, 100 g,280,45,2,8
Parota,Arya’s, 60 gms,400,77,6,10
Wheat Parota,I.d. Special, 100 grams,373,48,16,9
Kpn - Parota,Generic, 1 pc,180,0,11,0
Kachimor,Kerala, 1 cup cooked,70,0,0,0
aloo bhujia,aloo bhujia, 27 grams,156,11,12,2
Aloo Matar,Aloo Matar Shorba, 293.3 Gram,219,48,1,7
Aloo Gobhi,Sara's Aloo Gobhi, 2 cups,155,23,3,5
Aloo Mattar,Food.com Aloo Mattar, 1 cup,119,23,2,5
Indian-Aloo Chaat,Indian - Aloo Chaat, 1 (300g),224,51,1,6
Aloo Tikki,Mccann Aloo Tikki, 1 piece,60,0,0,0
Nutrella Aloo Curry,Nutrella Aloo Curry, 1 cup cooked,195,28,3,14
Aloo Parantha (Large),Aloo Parantha (Large), 105 g,154,23,9,3
Waitrose Aloo Saag,Waitrose Aloo Saag, 100 g,77,5,4,2
Bhune Aloo,Aloo, 100 gram,77,17,0,2
Cauliflower Aloo,Cauliflower Aloo, 125 gram,158,9,12,4
Aloo Palak,Generic, 1 cup cooked,149,21,4,7
Beans Aloo,Homemade, 1 cup,143,34,0,5
Aloo Paratha,Deep, 1 Piece (95g),265,41,9,5
Aloo Ghobi,Indian, 125 g,108,17,4,3
Sag Aloo,Sainsburys, 0.5 pack,150,11,10,3
